BUSSTOP_NM	BUS_STOP_ID	GPS_LATI	GPS_LONG
용계2통	40400	36.3269	127.33
용계동접수마을	40420	36.3293	127.331
용계동	41770	36.3314	127.33
법원등기국	46130	36.3321	127.335
흥도초등학교	41810	36.3338	127.338
도안고등학교	45520	36.3371	127.338
상대네거리	46700	36.3391	127.337
트리풀시티9단지	45890	36.3415	127.339
도안센트럴시티	45500	36.3452	127.34
유성온천역2번출구	45700	36.3516	127.341
유성시장	42060	36.3573	127.334
천양원	41480	36.3596	127.325
현충원역	41450	36.3596	127.32
구암8통	41430	36.3592	127.314
덕명네거리	41410	36.3595	127.309
운암네오미아/신협연수원	41750	36.3583	127.304
삼성화재연수원	41710	36.3543	127.3
한밭대학교	41680	36.3519	127.298
수통골삼거리	41660	36.3483	127.296
수통골기점지	41650	36.3464	127.295
서남부터미널기점	21660	36.3149	127.387
도마시장	30760	36.3148	127.384
도마네거리	30730	36.3138	127.381
도마삼거리	30650	36.3117	127.377
서부소방서	30490	36.3102	127.372
정림동	30870	36.3081	127.365
가수원교	30800	36.3074	127.362
가수원도서관	33020	36.3019	127.35
가수원동	33080	36.3001	127.352
가수원중학교	33130	36.2982	127.354
은아아파트	33170	36.2975	127.355
GS칼텍스저유소	33220	36.2957	127.357
괴곡동.고리골	34530	36.2885	127.354
고릿골구름다리	34500	36.2859	127.352
벌말	34520	36.281	127.354
대전추모공원입구	34490	36.2798	127.347
대전추모공원	30820	36.2835	127.342
상보안	34460	36.2765	127.346
노루벌	33790	36.273	127.344
장평보유원지	33730	36.2706	127.341
사진개	33820	36.2618	127.346
흑석네거리	33710	36.2549	127.341
기성초등학교	34050	36.2509	127.336
새터	34000	36.2436	127.325
사기점골	33960	36.2403	127.322
평촌1통마을회관	33940	36.2392	127.318
장전	33920	36.2319	127.316
영골	34270	36.2312	127.312
오동	34260	36.231	127.309
우명교	35080	36.2273	127.302
어곡교	34340	36.2241	127.303
조동1리	72260	36.2226	127.295
신양리	72230	36.219	127.292
신양1리	72220	36.2161	127.289
신양2리	72190	36.2158	127.287
신양2리	72290	36.2157	127.284
신양3리	72170	36.2188	127.279
조령리입구	72150	36.2219	127.278
고도리	5649	36.2158	127.271
수정리	72110	36.2122	127.269
양산교	5177	36.2088	127.267
벌곡	72060	36.2059	127.266
한삼천2리	72030	36.1999	127.264
한삼천교	72010	36.197	127.263
새한주유소	72070	36.1951	127.266
사정2리	72140	36.1955	127.271
부엉골교	72360	36.1981	127.281
사정1리	72310	36.1964	127.285
대덕리	72420	36.1982	127.292
대덕리	72330	36.1918	127.294
대덕가정리	72420	36.1856	127.291
검천리	72440	36.176	127.295
덕곡리	72460	36.1709	127.298
덕곡삼거리	72480	36.1667	127.299
도산리	72500	36.164	127.312
도산2리	72520	36.1612	127.314
수락1리	72540	36.1542	127.308
수락저수지	72560	36.1493	127.305
대둔산수락계곡	72580	36.1454	127.306
수락저수지	72570	36.1493	127.305
수락1리	72550	36.1542	127.308
도산2리	72530	36.1612	127.314
도산리	72510	36.164	127.312
덕곡삼거리	72490	36.1668	127.299
덕곡리	72470	36.1708	127.298
검천리	72450	36.1761	127.295
대덕가정리	72430	36.1857	127.291
대덕리	72340	36.1918	127.295
대덕리	72430	36.1982	127.292
사정1리	72320	36.1965	127.285
부엉골교	72360	36.1983	127.281
사정2리	72130	36.1956	127.271
새한주유소	72080	36.1952	127.266
한삼천교	72020	36.1971	127.264
한삼천2리	72040	36.1999	127.264
벌곡	72050	36.2051	127.266
양산교	5176	36.209	127.268
수정리	72120	36.2121	127.27
고도리	5648	36.2158	127.271
조령리입구	72160	36.2217	127.278
신양3리	72180	36.2187	127.279
신양2리	72300	36.2156	127.284
신양2리	72200	36.2155	127.286
신양1리	72210	36.2159	127.289
신양리	72240	36.219	127.293
조동1리	72250	36.2225	127.295
어곡교	34350	36.224	127.303
우명교	35090	36.2273	127.303
오동	34250	36.2308	127.308
영골	34280	36.2311	127.312
장전	33930	36.2318	127.316
평촌1통마을회관	33950	36.2392	127.318
사기점골	33970	36.2401	127.322
새터	34010	36.2434	127.325
기성초등학교	34040	36.2507	127.336
흑석네거리	33720	36.2547	127.341
사진개	33830	36.2616	127.346
장평보유원지	33740	36.2706	127.341
노루벌	33800	36.2731	127.344
상보안	34470	36.2764	127.346
대전추모공원	30850	36.2835	127.342
대전추모공원입구	34480	36.2797	127.347
벌말	34550	36.2808	127.354
고릿골구름다리	34510	36.2856	127.352
괴곡동.고리골	34540	36.2884	127.355
은아아파트	33160	36.2977	127.355
가수원중학교	33150	36.2983	127.354
가수원동	33090	36.3002	127.352
가수원도서관	33030	36.302	127.35
가수원육교.가수원시장	33070	36.3045	127.351
가수원네거리	33200	36.3057	127.356
정림삼거리	30810	36.3073	127.364
정림동	30900	36.3081	127.367
서부소방서	30910	36.3096	127.372
도마삼거리	30640	36.3112	127.376
도마e편한세상아파트	30750	36.3138	127.382
도마시장	30770	36.3146	127.384
버드내아파트	21680	36.3158	127.388
서부종합시장	21690	36.3154	127.39
서남부터미널	22370	36.3127	127.389
서남부터미널종점	21670	36.3119	127.388
가수원시장	33120	36.3041	127.354
가수원역	33180	36.2986	127.356
벌말	35390	36.2818	127.354
상보안	35500	36.2762	127.349
기성농협	35840	36.2533	127.341
기성중학교	33750	36.2501	127.342
매노동	33770	36.2471	127.343
오룡골	35120	36.2463	127.347
산직2동종점	35140	36.2434	127.352
오룡골	35130	36.2464	127.347
밤갈미	34100	36.2426	127.346
토옥골	34090	36.2397	127.344
용태울	34060	36.2355	127.342
용바위	34110	36.2319	127.346
장안저수지	34220	36.2269	127.346
장태산길곡길입구	34210	36.2221	127.343
장태산자연휴양림	34160	36.2206	127.338
장안동	34140	36.2141	127.337
목련농원	35030	36.2085	127.34
하산막골	35010	36.2036	127.341
산막골	34990	36.2013	127.34
장안동종점	34130	36.1972	127.338
산막골	35000	36.2014	127.341
하산막골	35020	36.2039	127.341
목련농원	35040	36.2086	127.34
장안동	34150	36.2141	127.337
장태산자연휴양림	34170	36.2207	127.338
장태산길곡길입구	34200	36.222	127.342
장안저수지	34230	36.2268	127.346
용바위	34120	36.2324	127.347
용태울	34070	36.2355	127.342
토옥골	34080	36.2394	127.344
밤갈미	33810	36.2426	127.346
매노동	33780	36.2473	127.343
기성중학교	33760	36.2501	127.342
기성농협	33700	36.2534	127.341
상보안	35510	36.2763	127.35
벌말	35380	36.2817	127.355
가수원역	33190	36.2992	127.356
가수원시장	33140	36.3041	127.354
야실	34020	36.2496	127.331
용촌1통	33980	36.2492	127.323
용촌교삼거리	34940	36.2472	127.317
용촌교	33910	36.2476	127.316
용촌2통	34390	36.2488	127.313
원정역	34380	36.2537	127.305
뒷골	35400	36.255	127.304
원정1통마을회관	35420	36.2579	127.302
원정동	35430	36.257	127.306
구만리	35440	36.2624	127.301
중리마을	35460	36.2629	127.296
무도리종점	35480	36.2581	127.287
중리마을	35470	36.2628	127.296
구만리	35450	36.2626	127.3
원정1통마을회관	34360	36.2578	127.302
뒷골	35410	36.2551	127.304
원정역	34370	36.2535	127.305
용촌2통	34400	36.2487	127.313
용촌교	33890	36.2476	127.316
용촌교삼거리	35490	36.2472	127.317
용촌1통	33990	36.2492	127.323
야실	34030	36.2495	127.331
우명2구	34330	36.2254	127.295
우명동	34310	36.2262	127.294
우명동낚시터	35170	36.2285	127.293
짐밭골	35820	36.2326	127.289
반송마을입구	35070	36.2345	127.287
우명동종점	34290	36.2375	127.286
반송마을입구	35060	36.2345	127.287
우명동낚시터	35180	36.2286	127.293
우명동	34300	36.2261	127.294
우명2구	34320	36.2253	127.294
흑석리역	33690	36.2553	127.34
수영장	33670	36.2599	127.338
대추벌	33650	36.2655	127.333
봉곡	34450	36.2706	127.328
봉곡1통	34430	36.2732	127.326
봉곡동종점	34410	36.2755	127.321
봉곡1통	34420	36.2732	127.326
봉곡	34440	36.2705	127.328
대추벌	33640	36.2654	127.333
수영장	33660	36.2598	127.338
흑석리역	33680	36.2552	127.34
평촌2통마을회관	33880	36.2395	127.315
평촌2통아래뜸	33860	36.238	127.312
평촌동종점	34240	36.2366	127.308
평촌동종점	9007516	36.2369	127.309
평촌2통아래뜸	33870	36.2379	127.312
